Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Rating
Super Mario Galaxy,Nintendo,2007.0,Platform,Nintendo,6.06,3.36,1.2,0.74,11.36,97.0,73.0,8.9,2159.0,E
Grand Theft Auto IV,Xbox,2008.0,Action,Take-Two Interactive,6.77,3.07,0.14,1.03,11.01,98.0,86.0,7.9,2958.0,M
Gran Turismo,PlayStation,1997.0,Racing,Sony Computer Entertainment,4.02,3.87,2.54,0.52,10.95,96.0,16.0,8.8,140.0,E
Super Mario 3D Land,Nintendo,2011.0,Platform,Nintendo,4.89,3.05,2.14,0.78,10.87,90.0,82.0,8.4,925.0,E
Gran Turismo 5,PlayStation,2010.0,Racing,Sony Computer Entertainment,2.96,4.82,0.81,2.11,10.7,84.0,82.0,7.5,1115.0,E
Call of Duty: Modern Warfare 2,PlayStation,2009.0,Shooter,Activision,4.99,3.64,0.38,1.6,10.6,94.0,67.0,6.3,2077.0,M
Grand Theft Auto IV,PlayStation,2008.0,Action,Take-Two Interactive,4.77,3.7,0.44,1.61,10.51,98.0,64.0,7.5,2849.0,M
Call of Duty: Ghosts,Xbox,2013.0,Shooter,Activision,6.75,2.58,0.04,0.91,10.28,73.0,29.0,2.6,2118.0,M
Just Dance 3,Nintendo,2011.0,Misc,Ubisoft,5.95,3.11,0.0,1.06,10.12,74.0,15.0,7.8,16.0,E10+
New Super Mario Bros. 2,Nintendo,2012.0,Platform,Nintendo,3.66,3.27,2.49,0.63,10.05,78.0,70.0,7.2,425.0,E
Halo: Reach,Xbox,2010.0,Shooter,Microsoft Game Studios,7.06,1.97,0.08,0.79,9.9,91.0,99.0,7.9,2053.0,M
Halo 4,Xbox,2012.0,Shooter,Microsoft Game Studios,6.68,2.3,0.04,0.74,9.77,87.0,87.0,7.0,3273.0,M
Final Fantasy VII,PlayStation,1997.0,Role-Playing,Sony Computer Entertainment,3.01,2.47,3.28,0.96,9.72,92.0,20.0,9.2,1297.0,T
Gran Turismo 2,PlayStation,1999.0,Racing,Sony Computer Entertainment,3.88,3.42,1.69,0.5,9.49,93.0,23.0,9.0,135.0,T
Just Dance 2,Nintendo,2010.0,Misc,Ubisoft,5.8,2.85,0.01,0.78,9.44,74.0,24.0,7.3,24.0,E10+
Call of Duty: Ghosts,PlayStation,2013.0,Shooter,Activision,4.1,3.63,0.38,1.26,9.37,71.0,10.0,2.6,1049.0,M
Call of Duty 4: Modern Warfare,Xbox,2007.0,Shooter,Activision,5.95,2.37,0.13,0.9,9.35,94.0,70.0,8.4,1322.0,M
Animal Crossing: New Leaf,Nintendo,2012.0,Simulation,Nintendo,2.08,2.43,4.43,0.4,9.34,88.0,70.0,8.7,628.0,E
FIFA 17,PlayStation,2016.0,Sports,Electronic Arts,0.9,6.75,0.09,1.33,9.07,85.0,41.0,4.9,442.0,E
Mario Party DS,Nintendo,2007.0,Misc,Nintendo,4.4,1.85,1.98,0.68,8.91,72.0,27.0,7.8,85.0,E
The Elder Scrolls V: Skyrim,Xbox,2011.0,Role-Playing,Bethesda Softworks,5.08,2.8,0.1,0.86,8.84,96.0,89.0,8.4,3602.0,M
FIFA 16,PlayStation,2015.0,Sports,Electronic Arts,1.13,6.13,0.06,1.28,8.6,82.0,42.0,4.3,902.0,E
Halo 2,Xbox,2004.0,Shooter,Microsoft Game Studios,6.82,1.53,0.05,0.08,8.49,95.0,91.0,8.2,1224.0,M
Wii Party,Nintendo,2010.0,Misc,Nintendo,1.75,3.48,2.49,0.67,8.39,68.0,42.0,7.5,55.0,E
Mario Party 8,Nintendo,2007.0,Misc,Nintendo,3.74,2.25,1.58,0.71,8.28,62.0,41.0,6.3,191.0,E
FIFA Soccer 13,PlayStation,2012.0,Action,Electronic Arts,1.07,5.01,0.13,1.97,8.17,88.0,37.0,6.5,350.0,E
Final Fantasy X,PlayStation,2001.0,Role-Playing,Sony Computer Entertainment,2.91,2.07,2.73,0.33,8.05,92.0,53.0,8.7,1077.0,T
The Sims 3,PC,2009.0,Simulation,Electronic Arts,0.99,6.42,0.0,0.6,8.01,86.0,75.0,7.6,894.0,T
Final Fantasy VIII,PlayStation,1999.0,Role-Playing,SquareSoft,2.28,1.72,3.63,0.23,7.86,90.0,24.0,8.6,658.0,T
Pok\xc3\xa9mon Platinum Version,Nintendo,2008.0,Role-Playing,Nintendo,2.76,1.72,2.69,0.54,7.72,83.0,46.0,8.5,204.0,E
Grand Theft Auto: Liberty City Stories,PlayStation,2005.0,Action,Take-Two Interactive,2.9,2.81,0.24,1.73,7.69,88.0,65.0,7.6,453.0,M
Call of Duty: Advanced Warfare,PlayStation,2014.0,Shooter,Activision,2.83,3.48,0.14,1.24,7.68,83.0,39.0,5.7,1446.0,M
Super Mario Galaxy 2,Nintendo,2010.0,Platform,Nintendo,3.58,2.36,0.98,0.62,7.54,97.0,87.0,9.1,1859.0,E
Call of Duty: World at War,Xbox,2008.0,Shooter,Activision,4.83,1.9,0.0,0.7,7.42,84.0,84.0,7.6,583.0,M
Fallout 4,PlayStation,2015.0,Role-Playing,Bethesda Softworks,2.58,3.42,0.24,1.17,7.41,87.0,58.0,6.5,4258.0,M
Battlefield 3,Xbox,2011.0,Shooter,Electronic Arts,4.47,2.11,0.06,0.69,7.33,84.0,57.0,7.4,2144.0,M
Uncharted 4: A Thiefs End,PlayStation,2016.0,Shooter,Sony Computer Entertainment,2.92,2.98,0.19,1.18,7.28,93.0,113.0,7.9,7238.0,T
Mario Kart 8,Nintendo,2014.0,Racing,Nintendo,3.17,2.25,1.29,0.52,7.23,88.0,82.0,9.1,1607.0,E
Need for Speed Underground,PlayStation,2003.0,Racing,Electronic Arts,3.27,2.83,0.08,1.02,7.2,85.0,33.0,8.6,172.0,E
Just Dance,Nintendo,2009.0,Misc,Ubisoft,3.48,2.99,0.0,0.73,7.2,49.0,21.0,8.0,110.0,E10+
Battlefield 3,PlayStation,2011.0,Shooter,Electronic Arts,2.86,2.89,0.35,1.08,7.18,85.0,38.0,7.5,1762.0,M
Tekken 3,PlayStation,1998.0,Fighting,Sony Computer Entertainment,3.27,2.22,1.4,0.29,7.16,96.0,15.0,9.1,371.0,T
The Legend of Zelda: Twilight Princess,Nintendo,2006.0,Action,Nintendo,3.74,2.14,0.6,0.68,7.16,95.0,73.0,9.0,1664.0,T
Crash Bandicoot 3: Warped,PlayStation,1998.0,Platform,Sony Computer Entertainment,3.68,1.75,1.42,0.28,7.13,91.0,12.0,8.9,439.0,E
Super Smash Bros. Melee,Nintendo,2001.0,Fighting,Nintendo,4.41,1.04,1.39,0.22,7.07,92.0,38.0,9.1,573.0,T
Need for Speed Underground 2,PlayStation,2004.0,Racing,Electronic Arts,2.71,3.02,0.08,1.09,6.9,82.0,39.0,8.6,132.0,E
Medal of Honor: Frontline,PlayStation,2002.0,Shooter,Electronic Arts,2.93,2.75,0.17,0.99,6.83,88.0,29.0,8.5,137.0,T
Just Dance 4,Nintendo,2012.0,Misc,Ubisoft,4.05,2.16,0.0,0.55,6.76,74.0,10.0,7.2,29.0,E10+
Gears of War 2,Xbox,2008.0,Shooter,Microsoft Game Studios,4.15,1.9,0.06,0.64,6.75,93.0,90.0,7.7,2746.0,M
Uncharted 3: Drakes Deception,PlayStation,2011.0,Action,Sony Computer Entertainment,2.77,2.75,0.19,1.03,6.74,92.0,97.0,8.3,3732.0,T
Call of Duty 4: Modern Warfare,PlayStation,2007.0,Shooter,Activision,3.11,2.26,0.28,1.03,6.69,94.0,44.0,8.4,994.0,M
Uncharted 2: Among Thieves,PlayStation,2009.0,Action,Sony Computer Entertainment,3.27,2.2,0.21,0.98,6.67,96.0,105.0,8.8,5226.0,T
Big Brain Academy,Nintendo,2005.0,Misc,Nintendo,1.66,2.75,1.6,0.62,6.63,74.0,45.0,7.4,27.0,E
Red Dead Redemption,PlayStation,2010.0,Action,Take-Two Interactive,2.8,2.53,0.17,1.0,6.51,95.0,73.0,8.9,2475.0,M
FIFA 14,PlayStation,2013.0,Sports,Electronic Arts,0.79,4.24,0.07,1.38,6.48,86.0,37.0,4.3,576.0,E
Donkey Kong Country Returns,Nintendo,2010.0,Platform,Nintendo,3.18,1.8,1.03,0.46,6.47,87.0,77.0,8.6,368.0,E
Assassins Creed III,PlayStation,2012.0,Action,Ubisoft,2.65,2.52,0.16,1.12,6.46,85.0,41.0,6.9,1314.0,M
Halo: Combat Evolved,Xbox,2001.0,Shooter,Microsoft Game Studios,4.98,1.3,0.08,0.07,6.43,97.0,68.0,8.6,1292.0,M
The Elder Scrolls V: Skyrim,PlayStation,2011.0,Role-Playing,Bethesda Softworks,2.56,2.61,0.25,1.0,6.42,92.0,16.0,6.4,2530.0,M
Pok\xc3\xa9mon Emerald Version,Nintendo,2004.0,Role-Playing,Nintendo,2.57,1.58,2.06,0.21,6.41,76.0,28.0,9.0,223.0,E
Kingdom Hearts,PlayStation,2002.0,Role-Playing,Sony Computer Entertainment,3.64,1.2,1.49,0.07,6.4,85.0,46.0,8.8,610.0,E
Red Dead Redemption,Xbox,2010.0,Action,Take-Two Interactive,3.71,1.97,0.09,0.58,6.35,95.0,96.0,9.0,2327.0,M
Halo 3: ODST,Xbox,2009.0,Shooter,Microsoft Game Studios,4.34,1.34,0.06,0.61,6.34,83.0,94.0,7.1,1166.0,M
Super Mario Sunshine,Nintendo,2002.0,Platform,Nintendo,4.01,1.26,0.87,0.17,6.31,92.0,61.0,8.6,444.0,E
World of Warcraft,PC,2004.0,Role-Playing,Activision,0.09,6.22,0.0,0.0,6.31,93.0,57.0,7.3,2199.0,T
Driver,PlayStation,1999.0,Action,GT Interactive,3.11,2.8,0.02,0.33,6.27,87.0,22.0,8.0,81.0,T
Gears of War 3,Xbox,2011.0,Shooter,Microsoft Game Studios,4.05,1.59,0.07,0.5,6.21,91.0,96.0,7.8,1510.0,M
Kinect Sports,Xbox,2010.0,Sports,Microsoft Game Studios,3.92,1.73,0.03,0.51,6.19,73.0,51.0,7.4,95.0,E10+
Gears of War,Xbox,2006.0,Shooter,Microsoft Game Studios,3.54,1.88,0.07,0.6,6.09,94.0,88.0,8.3,2301.0,M
FIFA 15,PlayStation,2014.0,Sports,Electronic Arts,0.8,4.33,0.05,0.91,6.08,82.0,47.0,5.7,993.0,E
Metal Gear Solid 2: Sons of Liberty,PlayStation,2001.0,Action,Konami Digital Entertainment,2.45,2.01,0.87,0.72,6.05,96.0,42.0,8.7,1035.0,M
Metal Gear Solid,PlayStation,1998.0,Action,Konami Digital Entertainment,3.18,1.83,0.78,0.24,6.03,94.0,20.0,9.4,934.0,M
Metal Gear Solid 4: Guns of the Patriots,PlayStation,2008.0,Action,Konami Digital Entertainment,2.63,1.71,0.83,0.82,5.99,94.0,82.0,8.7,3575.0,M
Final Fantasy XII,PlayStation,2006.0,Role-Playing,Square Enix,1.88,0.0,2.33,1.74,5.95,92.0,64.0,7.7,982.0,T
The Last of Us,PlayStation,2013.0,Action,Sony Computer Entertainment Europe,2.41,2.19,0.29,0.99,5.89,95.0,98.0,9.1,8039.0,M
LittleBigPlanet,PlayStation,2008.0,Platform,Sony Computer Entertainment,2.8,1.98,0.17,0.87,5.82,95.0,85.0,6.8,5319.0,E
Resident Evil 2,PlayStation,1998.0,Action,Virgin Interactive,1.88,1.47,2.02,0.45,5.82,89.0,13.0,9.2,369.0,M
Call of Duty: Infinite Warfare,PlayStation,2016.0,Shooter,Activision,2.15,2.57,0.16,0.93,5.8,77.0,86.0,3.5,1208.0,M
Dragon Quest IX: Sentinels of the Starry Skies,Nintendo,2009.0,Role-Playing,Nintendo,0.63,0.67,4.35,0.15,5.78,87.0,65.0,8.8,202.0,E10+
Tekken 2,PlayStation,1996.0,Fighting,Sony Computer Entertainment,2.26,1.89,1.36,0.23,5.74,89.0,8.0,8.9,102.0,T
Grand Theft Auto V,Xbox,2014.0,Action,Take-Two Interactive,2.93,2.32,0.0,0.49,5.74,97.0,14.0,7.9,774.0,M
Destiny,PlayStation,2014.0,Shooter,Activision,2.5,2.07,0.16,0.93,5.66,76.0,95.0,6.1,5389.0,T
LEGO Star Wars: The Complete Saga,Nintendo,2007.0,Action,LucasArts,3.57,1.56,0.0,0.51,5.64,80.0,17.0,8.9,62.0,E10+
Cooking Mama,Nintendo,2006.0,Simulation,505 Games,3.08,1.91,0.07,0.57,5.64,67.0,35.0,7.2,21.0,E
Assassins Creed II,PlayStation,2009.0,Action,Ubisoft,2.54,1.93,0.21,0.86,5.55,91.0,70.0,8.6,1212.0,M
Assassins Creed,Xbox,2007.0,Adventure,Ubisoft,3.28,1.64,0.07,0.56,5.54,81.0,77.0,7.7,1084.0,M
Forza Motorsport 3,Xbox,2009.0,Racing,Microsoft Game Studios,2.99,1.9,0.1,0.5,5.49,92.0,90.0,8.0,516.0,E
Super Mario Advance,Nintendo,2001.0,Platform,Nintendo,3.14,1.24,0.91,0.2,5.49,84.0,19.0,7.8,42.0,E
Batman: Arkham City,PlayStation,2011.0,Action,Warner Bros. Interactive Entertainment,2.71,1.85,0.11,0.81,5.48,96.0,42.0,8.6,2174.0,T
Monster Hunter Freedom Unite,PlayStation,2008.0,Role-Playing,Capcom,0.47,0.55,4.13,0.34,5.48,81.0,48.0,8.7,124.0,T
Mario Kart: Super Circuit,Nintendo,2001.0,Racing,Nintendo,2.62,1.64,0.99,0.23,5.47,93.0,24.0,8.3,108.0,E
Crash Bandicoot: The Wrath of Cortex,PlayStation,2001.0,Platform,Universal Interactive,2.07,2.29,0.24,0.82,5.42,66.0,22.0,7.1,161.0,E
Call of Duty: World at War,PlayStation,2008.0,Shooter,Activision,2.73,1.83,0.0,0.83,5.4,85.0,45.0,7.6,410.0,M
Tomodachi Life,Nintendo,2013.0,Simulation,Nintendo,0.99,2.23,1.91,0.25,5.39,71.0,52.0,7.6,156.0,E
Final Fantasy XIII,PlayStation,2009.0,Role-Playing,Square Enix,1.75,1.21,1.87,0.51,5.34,83.0,83.0,7.2,2506.0,T
Final Fantasy IX,PlayStation,2000.0,Role-Playing,SquareSoft,1.62,0.77,2.78,0.14,5.3,94.0,22.0,8.9,792.0,T
Battlefield 1,PlayStation,2016.0,Shooter,Electronic Arts,1.45,2.81,0.23,0.81,5.3,89.0,33.0,8.4,896.0,M
New Super Mario Bros. U,Nintendo,2012.0,Platform,Nintendo,2.3,1.4,1.28,0.32,5.29,84.0,70.0,8.1,734.0,E
Assassins Creed III,Xbox,2012.0,Action,Ubisoft,3.13,1.69,0.03,0.44,5.29,84.0,61.0,6.8,1204.0,M
Final Fantasy X-2,PlayStation,2003.0,Role-Playing,Electronic Arts,1.92,1.08,2.11,0.17,5.29,85.0,45.0,6.6,404.0,T
Call of Duty: Advanced Warfare,Xbox,2014.0,Shooter,Activision,3.24,1.55,0.01,0.48,5.28,81.0,53.0,5.4,900.0,M
Assassins Creed II,Xbox,2009.0,Action,Ubisoft,3.12,1.55,0.08,0.52,5.27,90.0,82.0,8.8,1320.0,M
Madden NFL 2004,PlayStation,2003.0,Sports,Electronic Arts,4.26,0.26,0.01,0.71,5.23,94.0,29.0,8.5,140.0,E
Dragon Quest VIII: Journey of the Cursed King,PlayStation,2004.0,Role-Playing,Square Enix,0.65,0.75,3.61,0.2,5.21,89.0,63.0,8.8,249.0,T
Professor Layton and the Curious Village,Nintendo,2007.0,Puzzle,Nintendo,1.21,2.43,1.03,0.52,5.19,85.0,72.0,8.6,149.0,E
FIFA Soccer 13,Xbox,2012.0,Action,Electronic Arts,1.09,3.47,0.03,0.58,5.17,90.0,48.0,6.1,404.0,E
Diablo III,PC,2012.0,Role-Playing,Activision,2.45,2.17,0.0,0.54,5.17,88.0,86.0,4.0,9643.0,M
Medal of Honor: Rising Sun,PlayStation,2003.0,Shooter,Electronic Arts,1.98,2.23,0.13,0.8,5.13,68.0,30.0,7.6,100.0,T
Guitar Hero II,PlayStation,2006.0,Misc,RedOctane,3.81,0.63,0.0,0.68,5.12,92.0,69.0,8.5,113.0,T
Fable III,Xbox,2010.0,Role-Playing,Microsoft Game Studios,3.59,1.08,0.05,0.38,5.1,80.0,88.0,6.5,608.0,M
Resident Evil 5,PlayStation,2009.0,Action,Capcom,1.96,1.41,1.08,0.64,5.09,84.0,76.0,7.5,671.0,M
The Legend of Zelda: Phantom Hourglass,Nintendo,2007.0,Action,Nintendo,1.85,1.8,0.95,0.48,5.08,90.0,57.0,8.0,418.0,E
FIFA Soccer 11,PlayStation,2010.0,Sports,Electronic Arts,0.61,3.28,0.06,1.12,5.07,89.0,51.0,8.0,233.0,E
Resident Evil,PlayStation,1996.0,Action,Virgin Interactive,2.05,1.16,1.11,0.73,5.05,91.0,8.0,9.0,268.0,M
Grand Theft Auto: Vice City Stories,PlayStation,2006.0,Action,Take-Two Interactive,1.7,1.99,0.16,1.19,5.03,86.0,50.0,8.0,152.0,M
Tony Hawks Pro Skater,PlayStation,1999.0,Sports,Activision,3.42,1.38,0.02,0.2,5.02,92.0,18.0,9.2,69.0,T
Guitar Hero III: Legends of Rock,PlayStation,2007.0,Misc,Activision,3.49,0.01,0.01,1.48,4.98,82.0,24.0,8.2,47.0,T
Links Crossbow Training,Nintendo,2007.0,Shooter,Nintendo,3.05,1.17,0.29,0.46,4.98,68.0,34.0,7.1,47.0,T
Fallout 3,Xbox,2008.0,Role-Playing,Bethesda Softworks,3.4,0.99,0.09,0.45,4.94,93.0,84.0,8.5,1658.0,M
Uncharted: Drakes Fortune,PlayStation,2007.0,Action,Sony Computer Entertainment,2.32,1.72,0.12,0.77,4.92,88.0,66.0,8.1,2332.0,T
Madden NFL 06,PlayStation,2005.0,Sports,Electronic Arts,3.98,0.26,0.01,0.66,4.91,88.0,29.0,8.0,121.0,E
StarCraft II: Wings of Liberty,PC,2010.0,Strategy,Activision,2.58,1.69,0.0,0.59,4.85,93.0,82.0,8.2,3057.0,T
Assassins Creed,PlayStation,2007.0,Adventure,Ubisoft,1.91,2.0,0.09,0.82,4.82,81.0,40.0,7.3,777.0,M
God of War III,PlayStation,2010.0,Action,Sony Computer Entertainment,2.74,1.34,0.12,0.61,4.8,92.0,101.0,8.7,2647.0,M
Uncharted: The Nathan Drake Collection,PlayStation,2015.0,Action,Sony Computer Entertainment,2.13,1.79,0.09,0.79,4.8,86.0,78.0,8.1,1289.0,T
Crash Team Racing,PlayStation,1999.0,Racing,Sony Computer Entertainment,2.57,1.57,0.44,0.21,4.79,88.0,20.0,9.0,239.0,E
LEGO Star Wars: The Complete Saga,Nintendo,2007.0,Action,LucasArts,2.83,1.48,0.0,0.45,4.76,80.0,9.0,5.4,46.0,E
Driver 2,PlayStation,2000.0,Action,Atari,2.36,2.1,0.02,0.25,4.73,62.0,14.0,7.7,93.0,T
Batman: Arkham City,Xbox,2011.0,Action,Warner Bros. Interactive Entertainment,2.99,1.27,0.04,0.42,4.73,94.0,87.0,8.7,1477.0,T
Tony Hawks Pro Skater 2,PlayStation,2000.0,Sports,Activision,3.05,1.41,0.02,0.2,4.68,98.0,19.0,7.7,301.0,T
The Lord of the Rings: The Two Towers,PlayStation,2002.0,Action,Electronic Arts,1.94,1.95,0.08,0.7,4.67,82.0,32.0,8.2,78.0,T
Tomb Raider,PlayStation,1996.0,Action,Eidos Interactive,2.29,1.97,0.13,0.24,4.63,91.0,13.0,8.6,149.0,T
Animal Crossing: City Folk,Nintendo,2008.0,Simulation,Nintendo,1.83,1.12,1.32,0.36,4.62,73.0,50.0,7.6,120.0,E
Luigis Mansion: Dark Moon,Nintendo,2013.0,Action,Nintendo,1.82,1.39,1.12,0.29,4.62,86.0,74.0,8.4,461.0,E
Halo 5: Guardians,Xbox,2015.0,Shooter,Microsoft Game Studios,2.86,1.29,0.03,0.42,4.61,84.0,101.0,6.4,2455.0,T
The Legend of Zelda: The Wind Waker,Nintendo,2002.0,Action,Nintendo,2.6,0.99,0.89,0.13,4.6,96.0,80.0,8.9,977.0,E
Guitar Hero III: Legends of Rock,Nintendo,2007.0,Misc,Activision,3.04,1.11,0.0,0.43,4.6,86.0,36.0,8.4,87.0,T
Forza Motorsport 4,Xbox,2011.0,Racing,Microsoft Game Studios,2.08,1.97,0.06,0.46,4.57,91.0,83.0,8.2,619.0,E
Splatoon,Nintendo,2015.0,Shooter,Nintendo,1.56,1.24,1.48,0.26,4.54,81.0,88.0,8.5,1189.0,E10+
Madden NFL 2005,PlayStation,2004.0,Sports,Electronic Arts,4.18,0.26,0.01,0.08,4.53,91.0,30.0,7.9,78.0,E
Guitar Hero III: Legends of Rock,Xbox,2007.0,Misc,Activision,3.19,0.91,0.01,0.42,4.53,85.0,69.0,7.9,167.0,T
Madden NFL 07,PlayStation,2006.0,Sports,Electronic Arts,3.63,0.24,0.01,0.61,4.49,84.0,29.0,8.2,39.0,E
Spider-Man: The Movie,PlayStation,2002.0,Action,Activision,2.71,1.51,0.03,0.23,4.48,76.0,25.0,7.9,42.0,E
Super Mario 3D World,Nintendo,2013.0,Platform,Nintendo,2.18,1.23,0.73,0.34,4.47,93.0,83.0,9.0,1615.0,E
God of War,PlayStation,2005.0,Action,Sony Computer Entertainment,2.71,1.29,0.02,0.43,4.45,94.0,75.0,8.9,1007.0,M
Nintendo Land,Nintendo,2012.0,Misc,Nintendo,2.52,1.11,0.46,0.33,4.42,77.0,61.0,7.9,473.0,E10+
Tony Hawks Pro Skater 3,PlayStation,2001.0,Sports,Activision,2.66,1.29,0.01,0.46,4.41,97.0,34.0,7.5,298.0,T
Winning Eleven: Pro Evolution Soccer 2007,PlayStation,2006.0,Sports,Konami Digital Entertainment,0.1,2.39,1.05,0.86,4.39,86.0,19.0,8.9,33.0,E
The Elder Scrolls IV: Oblivion,Xbox,2006.0,Role-Playing,Take-Two Interactive,2.83,1.03,0.13,0.4,4.39,94.0,90.0,8.7,1113.0,M
Fallout 4,Xbox,2015.0,Role-Playing,Bethesda Softworks,2.59,1.37,0.01,0.4,4.37,88.0,39.0,6.2,1759.0,M
Need for Speed: Most Wanted,PlayStation,2005.0,Racing,Electronic Arts,2.03,1.79,0.08,0.47,4.37,82.0,36.0,9.1,138.0,T
Michael Jackson: The Experience,Nintendo,2010.0,Misc,Ubisoft,2.64,1.33,0.01,0.39,4.36,56.0,37.0,8.3,32.0,E10+
Resistance: Fall of Man,PlayStation,2006.0,Shooter,Sony Computer Entertainment,1.74,1.72,0.14,0.75,4.35,86.0,70.0,8.1,718.0,M
Kingdom Hearts II,PlayStation,2005.0,Role-Playing,Square Enix,2.2,0.58,1.38,0.17,4.33,87.0,64.0,9.0,778.0,E10+
Fable II,Xbox,2008.0,Role-Playing,Microsoft Game Studios,2.51,1.24,0.11,0.41,4.27,89.0,95.0,6.5,2427.0,M
Batman: Arkham Asylum,PlayStation,2009.0,Action,Eidos Interactive,2.24,1.31,0.07,0.61,4.24,91.0,70.0,8.9,1130.0,T
Namco Museum,Nintendo,2001.0,Misc,Namco Bandai Games,3.0,1.11,0.05,0.07,4.24,79.0,10.0,7.3,6.0,E
